ColumnHeader,TDR,MUX,MUX channel,Plot,Treatment,Position,Depth
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,BattV_Avg,BattV_Avg,BattV_Avg,BattV_Avg,BattV_Avg,BattV_Avg,BattV_Avg
PTemp_C_Avg,PTemp_C_Avg,PTemp_C_Avg,PTemp_C_Avg,PTemp_C_Avg,PTemp_C_Avg,PTemp_C_Avg,PTemp_C_Avg
VW_Avg(1),1,1,1,101,1,NearPlant,0-30
VW_Avg(2),2,1,2,101,1,BetweenPlants,0-30
VW_Avg(3),3,1,3,101,1,Furrow,25-55
VW_Avg(4),4,1,4,101,1,UnderRidge,25-55
VW_Avg(5),5,1,5,102,2,NearPlant,0-30
VW_Avg(6),6,1,6,102,2,BetweenPlants,0-30
VW_Avg(7),7,1,7,102,2,Furrow,25-55
VW_Avg(8),8,1,8,102,2,UnderRidge,25-55
VW_Avg(9),9,1,9,103,3,NearPlant,0-30
VW_Avg(10),10,1,10,103,3,BetweenPlants,0-30
VW_Avg(11),11,1,11,103,3,Furrow,25-55
VW_Avg(12),12,1,12,103,3,UnderRidge,25-55
VW_Avg(13),13,1,13,104,4,NearPlant,0-30
VW_Avg(14),14,1,14,104,4,BetweenPlants,0-30
VW_Avg(15),15,1,15,104,4,Furrow,25-55
VW_Avg(16),16,1,16,104,4,UnderRidge,25-55
VW_Avg(17),17,1,17,202,3,NearPlant,0-30
VW_Avg(18),18,1,18,202,3,BetweenPlants,0-30
VW_Avg(19),19,1,19,202,3,Furrow,25-55
VW_Avg(20),20,1,20,202,3,UnderRidge,25-55
VW_Avg(21),21,1,21,203,4,NearPlant,0-30
VW_Avg(22),22,1,22,203,4,BetweenPlants,0-30
VW_Avg(23),23,1,23,203,4,Furrow,25-55
VW_Avg(24),24,1,24,203,4,UnderRidge,25-55
VW_Avg(25),25,1,25,205,1,NearPlant,0-30
VW_Avg(26),26,1,26,205,1,BetweenPlants,0-30
VW_Avg(27),27,1,27,205,1,Furrow,25-55
VW_Avg(28),28,1,28,205,1,UnderRidge,25-55
VW_Avg(29),29,1,29,206,2,NearPlant,0-30
VW_Avg(30),30,1,30,206,2,BetweenPlants,0-30
VW_Avg(31),31,1,31,206,2,Furrow,25-55
VW_Avg(32),32,1,32,206,2,UnderRidge,25-55
VW_Avg(33),33,2,1,301,2,NearPlant,0-30
VW_Avg(34),34,2,2,301,2,BetweenPlants,0-30
VW_Avg(35),35,2,3,301,2,Furrow,25-55
VW_Avg(36),36,2,4,301,2,UnderRidge,25-55
VW_Avg(37),37,2,5,303,1,NearPlant,0-30
VW_Avg(38),38,2,6,303,1,BetweenPlants,0-30
VW_Avg(39),39,2,7,303,1,Furrow,25-55
VW_Avg(40),40,2,8,303,1,UnderRidge,25-55
VW_Avg(41),41,2,9,304,3,NearPlant,0-30
VW_Avg(42),42,2,10,304,3,BetweenPlants,0-30
VW_Avg(43),43,2,11,304,3,Furrow,25-55
VW_Avg(44),44,2,12,304,3,UnderRidge,25-55
VW_Avg(45),45,2,13,307,4,NearPlant,0-30
VW_Avg(46),46,2,14,307,4,BetweenPlants,0-30
VW_Avg(47),47,2,15,307,4,Furrow,25-55
VW_Avg(48),48,2,16,307,4,UnderRidge,25-55
VW_Avg(49),49,2,17,402,3,NearPlant,0-30
VW_Avg(50),50,2,18,402,3,BetweenPlants,0-30
VW_Avg(51),51,2,19,402,3,Furrow,25-55
VW_Avg(52),52,2,20,402,3,UnderRidge,25-55
VW_Avg(53),53,2,21,404,4,NearPlant,0-30
VW_Avg(54),54,2,22,404,4,BetweenPlants,0-30
VW_Avg(55),55,2,23,404,4,Furrow,25-55
VW_Avg(56),56,2,24,404,4,UnderRidge,25-55
VW_Avg(57),57,2,25,405,2,NearPlant,0-30
VW_Avg(58),58,2,26,405,2,BetweenPlants,0-30
VW_Avg(59),59,2,27,405,2,Furrow,25-55
VW_Avg(60),60,2,28,405,2,UnderRidge,25-55
VW_Avg(61),61,2,29,407,1,NearPlant,0-30
VW_Avg(62),62,2,30,407,1,BetweenPlants,0-30
VW_Avg(63),63,2,31,407,1,Furrow,25-55
VW_Avg(64),64,2,32,407,1,UnderRidge,25-55
